Picture,Style,Make,Model,Year,Transmission,Engine Displacement,Engine Cylinders,Drive Train,Horsepower,Torque (lb-ft),Torque (RPM),Acceleration (0-62MPH),Top Speed (km/h),Fuel,Fuel Economy (L/100KM)
,Sedan,LEXUS,IS200,1998-2005,6MT,2,L6,RWD,155,144,4400,9.5,215,Gasoline,9.8
,Sedan,LEXUS,IS250,1998-2005,6AT,2.2,L4,RWD,207,186,3800,8.5,225,Gasoline,10.8
,Sedan,LEXUS,IS250,1998-2005,6MT,2.2,L4,RWD,207,186,3800,8.7,220,Gasoline,10.8
,Sedan,LEXUS,IS300,1998-2005,6AT,3,L6,RWD,215,212,3800,8.2,230,Gasoline,10.8
,Sedan,LEXUS,IS220D,1998-2005,6AT,2.2,L4,RWD,177,295,2000,9.2,216,Diesel,10.8
,Hatchback,LEXUS,IS200 Sport Cross,2001-2005,6MT,2,L6,RWD,155,144,4400,9.5,215,Gasoline,9.8
,Hatchback,LEXUS,IS300 Sport Cross,2001-2005,5AT,3,l6,RWD,213,212,3800,8.4,230,Gasoline,11.2
,Sedan,LEXUS,IS250,2005-2013,6MT,2.5,V6,RWD,208,185,4800,8.1,230,Gasoline,9.8
,Sedan,LEXUS,IS250,2005-2013,6AT,2.5,V6,AWD,208,185,4800,8.1,230,Gasoline,9.8
,Sedan,LEXUS,IS350,2005-2013,6AT,3.5,V6,RWD,310,277,4800,5.6,229,Gasoline,9.8
,Sedan,LEXUS,IS350,2005-2013,6AT,3.5,V6,AWD,310,277,4800,5.6,229,Gasoline,9.8
,Sedan,LEXUS,IS220D,2005-2012,6MT,2.2,L4,RWD,117,295,2000,8.9,215,Diesel,6.3
,Sedan,LEXUS,ISF,2008-2012,8AT,5,V8,RWD,423,372,5200,4.8,270,Gasoline,11.4
,Convirtable,LEXUS,IS250C,2008-2012,6AT,2.5,V6,RWD,207,185,4800,8.4,216,Gasoline,10.7
,Convirtable,LEXUS,IS350C,2008-2012,6AT,3.5,V6,RWD,310,277,4800,5.8,227,Gasoline,9.4
,Sedan,LEXUS,ISF,2013-2014,8AT,5,V8,RWD,422,371,5200,4.8,274,Gasoline,13.1
,Sedan,LEXUS,IS250,2014-2015,6AT,2.5,V6,AWD,204,185,4800,8.6,211,Gasoline,10.2
,Sedan,LEXUS,IS250,2014-2015,6AT,2.5,V6,RWD,204,185,4800,8,225,Gasoline,9.8
,Sedan,LEXUS,IS250 (EU spec.),2014-2015,6AT,2.5,V6,RWD,207,184,4800,8.1,225,Gasoline,6.7
,Sedan,LEXUS,IS350,2014-2015,8AT,3.5,V6,AWD,310,277,4800,5.9,211,Gasoline,11.2
,Sedan,LEXUS,IS350,2014-2015,8AT,3.5,V6,RWD,310,277,4800,5.8,230,Gasoline,10.7
,Sedan,LEXUS,IS300h,2014-2015,e-CVT,2.5,L4,RWD,181,159,4400,8.3,200,Hybrid,4.3
,Sedan,LEXUS,IS200t,2016-2020,8AT,2,L4,AWD,244,258,4400,7.2,230,Gasoline,7
,Sedan,LEXUS,IS200t,2016-2020,8AT,2,L4,RWD,244,285,4400,7.2,230,Gasoline,7
,Sedan,LEXUS,IS300,2016-2020,6AT,3.5,V6,AWD,259,236,4800,,,Gasoline,
,Sedan,LEXUS,IS350,2016-2020,8AT,3.5,V6,AWD,310,277,4800,,,Gasoline,
,Sedan,LEXUS,IS350,2016-2020,8AT,3.5,V6,RWD,310,277,4800,,,Gasoline,
,Sedan,LEXUS,IS300h,2016-2020,e-CVT,3,L4,FWD,223,163,5400,8.6,200,Hybrid,4.3
,Sedan,LEXUS,IS300,2021-2023,8AT,3.5,V6,AWD,241,236,4400,,,Gasoline,
,Sedan,LEXUS,IS300,2021-2023,8AT,3.5,V6,RWD,311,280,4800,,,Gasoline,
,Sedan,LEXUS,IS350,2021-2023,8AT,3.5,V6,AWD,311,280,4800,6.3,,Gasoline,
,Sedan,LEXUS,IS500,2021-2023,8AT,5,V8,RWD,472,395,4800,6.3,,Gasoline,
